"","k","chain","alfa","perplejidad"
"1",2,1,57588113512.623,0.0309009877040016
"2",2,2,1426031616046.91,0.0371751638510088
"3",2,3,1345536649641.19,0.0431433678999319
"4",2,4,7658177866737.6,0.0436521023712488
"5",2,5,8092200768.01914,0.044199066450696
"6",3,1,58039166224.359,0.0309460301805355
"7",3,2,1475536943416.79,0.0328837415673329
"8",3,3,1332836914046.5,0.0315683273356801
"9",3,4,7432773949814.89,0.0333175995152442
"10",3,5,8013938696.05315,0.0320836573954882
"11",4,1,57030687919.0765,0.0314323393174816
"12",4,2,1401178102006.41,0.0216644380308888
"13",4,3,1363903589551.55,0.0212206988787955
"14",4,4,7294551832196.85,0.0203415290266682
"15",4,5,7723364079.95707,0.0280885764624052
"16",5,1,55805468481.608,0.0212416653839557
"17",5,2,1417221186603.65,0.022158829360344
"18",5,3,1276166343923.09,0.0207083176993967
"19",5,4,7312092903875.26,0.020922017751125
"20",5,5,7520584124.27343,0.0211653658953185
"21",6,1,53956387968.5348,0.0179409173981764
"22",6,2,1386841762431.39,0.0202548729403721
"23",6,3,1314320155545.23,0.0178503702840506
"24",6,4,7300661364511.16,0.0209678786538802
"25",6,5,7415616273.11117,0.0201023060744066
"26",7,1,56203811156.2985,0.0175438134563136
"27",7,2,1398051035623.26,0.0184801027306299
"28",7,3,1287565582602.59,0.0173157243923915
"29",7,4,7435982733899.92,0.0156491617002655
"30",7,5,7323178180.93461,0.0134069800614715
"31",8,1,54880394336.7642,0.0165718748222189
"32",8,2,1406103967614.5,0.0148301363832072
"33",8,3,1289072105496.01,0.0178219266549612
"34",8,4,7159934166890.93,0.0181462528944754
"35",8,5,7594760851.45475,0.016841270173403
"36",9,1,53874549566.6098,0.0148580875307631
"37",9,2,1324181926045.79,0.0157033471667126
"38",9,3,1296672830872.44,0.0140832638671625
"39",9,4,7206595400404.55,0.016697265526997
"40",9,5,7436674332.15739,0.0150655653462358
"41",10,1,53783855656.7411,0.0134915596143942
"42",10,2,1426846727112.43,0.0159576845387144
"43",10,3,1259983472280.6,0.01388633819078
"44",10,4,7278584553730.01,0.0152689119403128
"45",10,5,7231561616.26525,0.0146968651363841
"46",11,1,53978088472.51,0.0123109262542692
"47",11,2,1392912953784.25,0.0132559438724079
"48",11,3,1318092741164.49,0.0148798734262153
"49",11,4,7076632966507.94,0.0155906016350811
"50",11,5,7026774526.70989,0.0136438699153575
"51",12,1,52615545668.456,0.0151110297695988
"52",12,2,1307072685694.92,0.0165704265162111
"53",12,3,1273583002725.45,0.0132983082676815
"54",12,4,7168973297354.47,0.0139439002134642
"55",12,5,7031194075.96651,0.0151865192415729
"56",13,1,51482830231.1359,0.0122236439479808
"57",13,2,1347729424143.19,0.0141386302955587
"58",13,3,1294472078866.06,0.0139688297587785
"59",13,4,7088856792472.45,0.0139582782052046
"60",13,5,7124941250.15639,0.0149539016818774
"61",14,1,52524347326.6579,0.0129916133599046
"62",14,2,1302441903501.78,0.0134806066544393
"63",14,3,1196711744388.68,0.0119500949915213
"64",14,4,7219889170711.34,0.0102115692933302
"65",14,5,7261907024.072,0.0125769494471464
"66",15,1,50848030213.0343,0.0130648116268623
"67",15,2,1298324111735.19,0.0137473571117927
"68",15,3,1253368277575.56,0.0123395249846329
"69",15,4,7220054420984.56,0.0107352339379504
"70",15,5,7159236319.74355,0.0130822046812593
"71",16,1,49739763708.1268,0.0132913382728041
"72",16,2,1329112992301.89,0.0132356788424842
"73",16,3,1304620801284.93,0.00924960679924716
"74",16,4,7068075960864.48,0.0133139457256406
"75",16,5,7010273522.70419,0.0131939449041048
"76",17,1,51880137869.2038,0.0110076326750138
"77",17,2,1323673959373.74,0.0119559989499866
"78",17,3,1214380495782.58,0.011272485230274
"79",17,4,7195332894608.61,0.0123945148695405
"80",17,5,6969085581.86308,0.0114573959346001
"81",18,1,49812324468.8788,0.0123503105750511
"82",18,2,1352691528964.57,0.0102569034792736
"83",18,3,1231794414388.41,0.0118016679572729
"84",18,4,7041411506680.3,0.0124141544085538
"85",18,5,6798627741.47303,0.0123754683177539
"86",19,1,49287078002.4573,0.0102962209055487
"87",19,2,1280441146260.11,0.0118771406235221
"88",19,3,1205645965650.31,0.0106362505814384
"89",19,4,7272266046292.02,0.00968379719454137
"90",19,5,7001962669.09137,0.0102103577645966
"91",20,1,49464735004.8644,0.00843344619433722
"92",20,2,1346907343405.22,0.00841730564429402
"93",20,3,1254086912197.9,0.0110198274259794
"94",20,4,6888131462712.15,0.0112614522826414
"95",20,5,6976064644.35181,0.0113833503365741
"96",21,1,50419721957.4333,0.00860546243760874
"97",21,2,1338703285179.08,0.0110201634627784
"98",21,3,1230500197675.17,0.0114865191501362
"99",21,4,6981325619298.79,0.00830306423021469
"100",21,5,6767411569.54448,0.0118710094713363
"101",22,1,52315858325.0662,0.00968667070729428
"102",22,2,1252711951974.23,0.0107190853340516
"103",22,3,1234241595732.28,0.0102227062257236
"104",22,4,6742263386981.04,0.0104250032036734
"105",22,5,6895061657.0889,0.010590902882901
"106",23,1,48940783534.6171,0.00871548171327154
"107",23,2,1328218773109.04,0.00935576171876604
"108",23,3,1273499246912.37,0.00827155848796498
"109",23,4,6863497318686.99,0.0109392927690281
"110",23,5,6617179502.33394,0.0113352952025741
"111",24,1,50225565150.3162,0.0104885795373616
"112",24,2,1295144000705.96,0.00931870621011958
"113",24,3,1209564036727.12,0.0104824877648915
"114",24,4,6793988354272.1,0.0107077111968818
"115",24,5,6867566048.82716,0.010246217784789
"116",25,1,49131905813.3356,0.010373575763182
"117",25,2,1296570513447.25,0.0104088767953562
"118",25,3,1297945292092.74,0.00990422668159582
"119",25,4,7133151725938.34,0.0110771583440842
"120",25,5,6777904336.82585,0.00850642565574598
"121",26,1,48878089975.4657,0.00921668384764433
"122",26,2,1348902433756.42,0.00981783101370155
"123",26,3,1195489376139.55,0.0103991319677589
"124",26,4,6836618568080.77,0.00891339270609793
"125",26,5,6850708428.5291,0.00946663185641337
"126",27,1,50310550672.8053,0.0105617472747491
"127",27,2,1316240203680.22,0.00934074969129727
"128",27,3,1222262855190.18,0.00968110360249181
"129",27,4,7017442043263.38,0.00913863442777673
"130",27,5,6831478755.96303,0.00875505557955032
"131",28,1,46201933236.5924,0.00987216943583141
"132",28,2,1302338050577.43,0.0095330134187922
"133",28,3,1281415483586.72,0.00983122682493958
"134",28,4,6931687513546.49,0.0100204008430696
"135",28,5,6643905999.44224,0.00943332803708516
"136",29,1,48462968728.0843,0.0097458197545951
"137",29,2,1279440059780.64,0.00836938452224087
"138",29,3,1238109716069.85,0.00863249636627733
"139",29,4,7104791921851.37,0.00917724699539291
"140",29,5,6394644854.81329,0.00995352602331813
"141",30,1,46708840264.9515,0.00891181156362496
"142",30,2,1294388962170.39,0.00937967568866588
"143",30,3,1166287418296.9,0.00966999322552476
"144",30,4,6765550157360.91,0.00975038759819069
"145",30,5,6628738630.58781,0.00911886607784732
"146",31,1,48777676325.581,0.00950265536552861
"147",31,2,1290065450365.79,0.00867875964310618
"148",31,3,1251949070049.7,0.00956496871485773
"149",31,4,7142620860061.53,0.00792297707621212
"150",31,5,6894909334.33326,0.00868648710288941
"151",32,1,47832499787.5684,0.00871802551670577
"152",32,2,1284286111965.66,0.00879562690381976
"153",32,3,1269421610478.48,0.0076694166032821
"154",32,4,7081863632421.64,0.00894927333177266
"155",32,5,6644130643.59773,0.00904987756880498
"156",33,1,46219424855.4051,0.00905650845297476
"157",33,2,1363446271439.71,0.00900353583674497
"158",33,3,1278741715483.27,0.00792904401895431
"159",33,4,6927492115025.53,0.0089123086910952
"160",33,5,6595069649.84763,0.0083034708458758
"161",34,1,47018251472.8033,0.00912607431360324
"162",34,2,1278034450658.63,0.00867861107681331
"163",34,3,1236772992100.62,0.0086471945857699
"164",34,4,6947202147542.85,0.00876781826963902
"165",34,5,6663466211.38425,0.00751579723153052
"166",35,1,45631872707.0456,0.0081697095315012
"167",35,2,1345486058654.12,0.00877459118423831
"168",35,3,1226447332908.47,0.00891368660188739
"169",35,4,6855642206874.46,0.00865891908946752
"170",35,5,6473112318.31542,0.00859772720958744
"171",36,1,48617150859.3257,0.00850192914941413
"172",36,2,1325682858972.53,0.00793590876732043
"173",36,3,1230026235727.64,0.00857106377756425
"174",36,4,7252725469216.17,0.00788270562632896
"175",36,5,6630094305.509,0.00851885856229581
"176",37,1,46575069549.9905,0.00807362386749991
"177",37,2,1327199096879.34,0.00807585665038156
"178",37,3,1228384687312.54,0.00856371059751019
"179",37,4,6902793178958.22,0.00823945430743492
"180",37,5,6391155183.53667,0.00864208873327992
"181",38,1,45807293430.9568,0.00826117728954424
"182",38,2,1298733296187.37,0.00777764840018161
"183",38,3,1158741154599.8,0.00823140878670414
"184",38,4,6813367837402.93,0.00847449365298459
"185",38,5,6938475006.72979,0.00731204131452103
"186",39,1,45506054263.3019,0.00823183636584372
"187",39,2,1343623894517.52,0.00821404546627032
"188",39,3,1202074502581.17,0.00749612193702374
"189",39,4,6796384102156.96,0.0082104626618584
"190",39,5,6716528018.60846,0.00837180088115966
"191",40,1,47073749504.1172,0.00801926345265619
"192",40,2,1255643258271.05,0.00782214087501995
"193",40,3,1173709401111.93,0.00886543810476134
"194",40,4,6618818157431.67,0.00840844051192053
"195",40,5,6679356798.83783,0.0081003849362272
"196",41,1,45447313728.8982,0.00798452007508541
"197",41,2,1289204769268.52,0.00760658256776052
"198",41,3,1249477954578.64,0.00781952806988944
"199",41,4,6831557690775.01,0.00762772070579744
"200",41,5,6448013897.1442,0.00774125228862978
"201",42,1,47045001401.1238,0.00792513933182196
"202",42,2,1316238798153.56,0.00790866373251223
"203",42,3,1205466866376.61,0.00819373561865029
"204",42,4,6785773856585.83,0.00819794752056886
"205",42,5,6378904923.4543,0.0079813502380227
"206",43,1,47045114160.3851,0.00657075311660522
"207",43,2,1311393621389.33,0.00689935033214962
"208",43,3,1176206108383.48,0.00781726740244844
"209",43,4,6823392734488.63,0.00767872777326866
"210",43,5,6515416288.74224,0.00752741186091851
"211",44,1,47367727379.7027,0.00733606359397463
"212",44,2,1316387836252.22,0.00814348851280438
"213",44,3,1193423144545.65,0.00630181475648902
"214",44,4,6931702002688.42,0.00712363956304624
"215",44,5,6634640059.1748,0.00765967476068328
"216",45,1,44613135038.8,0.00702993615982267
"217",45,2,1258969423046.21,0.00930432884384735
"218",45,3,1205951227097.08,0.00721981501737085
"219",45,4,7081863704140.65,0.00632957960733789
"220",45,5,6662530252.36949,0.00688749500571085
"221",46,1,48306072220.1762,0.0071582716829333
"222",46,2,1301151785388.2,0.00749614540241463
"223",46,3,1250271652804.64,0.00683463678280981
"224",46,4,6666600143111.97,0.00764163307200804
"225",46,5,6317675533.70942,0.00909910348365073
"226",47,1,43567585307.0118,0.00747239829506975
"227",47,2,1314205411021.07,0.00723572322072301
"228",47,3,1209714084302.81,0.00757805529439448
"229",47,4,6929196848539.03,0.00690765739237549
"230",47,5,6595079061.30244,0.00728101064098384
"231",48,1,45674340499.6613,0.0080939211129201
"232",48,2,1292974789021.37,0.00705480383278972
"233",48,3,1164973780587.07,0.00746694090151017
"234",48,4,6827026137370.04,0.00729049804969293
"235",48,5,6422104577.38934,0.00649287842793264
"236",49,1,44088921438.3905,0.00722581819013189
"237",49,2,1260642641893.03,0.00721361458558281
"238",49,3,1224536020571.26,0.00729344129767858
"239",49,4,6737272659957.89,0.0073529896845109
"240",49,5,6450979732.1931,0.00744625727160781
"241",50,1,47981732831.8919,0.00665668372423091
"242",50,2,1335841699223.83,0.00624804396082982
"243",50,3,1108735888923.26,0.00658009315038926
"244",50,4,6791924805524.1,0.00678678714306977
"245",50,5,6494341881.01555,0.00710799859029881
"246",51,1,44657689385.5021,0.00699100229323377
"247",51,2,1285496494051.72,0.00701469278325465
"248",51,3,1214503248645.88,0.00663008060495169
"249",51,4,6898237396710.79,0.0066572646553577
"250",51,5,6450942366.52504,0.00664303563377503
"251",52,1,43997599303.9184,0.00700824741767289
"252",52,2,1258915794922.08,0.00707046103081214
"253",52,3,1113765870489.6,0.00720351749332877
"254",52,4,6945655511797.23,0.00705766172867429
"255",52,5,6567967475.5158,0.00718419046874474
"256",53,1,45161173285.9822,0.00655271711164871
"257",53,2,1267882222273.2,0.00686137749222415
"258",53,3,1158334151821.15,0.00721111700945751
"259",53,4,6855563601195.56,0.00695735781664268
"260",53,5,6686835230.62275,0.00644139685454795
"261",54,1,46595513453.7716,0.00677560920750958
"262",54,2,1272935167490.42,0.0068855005043072
"263",54,3,1105989451384.77,0.00699183639025633
"264",54,4,6955888667776.56,0.00708826500463791
"265",54,5,6238286537.20785,0.00675999310347005
"266",55,1,45102936554.4715,0.0059611341086495
"267",55,2,1255146319338,0.00689080078703464
"268",55,3,1132325618484.06,0.00674088785841965
"269",55,4,6874498957527.28,0.00617709273003013
"270",55,5,6245287953.30318,0.00678448458475581
"271",56,1,44133203557.5518,0.00684920753259712
"272",56,2,1299460549525.34,0.00664238713847175
"273",56,3,1166956483471.62,0.00672504697978636
"274",56,4,6989200443234.21,0.00536958843980449
"275",56,5,6654434137.50978,0.00633679103539649
"276",57,1,44315704312.4396,0.00630510127520002
"277",57,2,1316404554346.76,0.00664319827086296
"278",57,3,1192361334883.5,0.00680971409686305
"279",57,4,6725531637438.97,0.00630209303170729
"280",57,5,6303830315.3614,0.00641216941583191
"281",58,1,45532446072.9083,0.00669220454243692
"282",58,2,1280133916594.25,0.00660830810332479
"283",58,3,1191892383779.99,0.00661587795992511
"284",58,4,7007867766099.35,0.00664113106416896
"285",58,5,6147558392.35563,0.00683795420492204
"286",59,1,46246485861.3154,0.00656867177654099
"287",59,2,1265736824777.52,0.00644887353702066
"288",59,3,1193208302662.67,0.00622219593519048
"289",59,4,6785771698742.4,0.00651795559735847
"290",59,5,6491397931.64347,0.00663056633931547
"291",60,1,44510350534.7526,0.00630696373624945
"292",60,2,1316764952311.15,0.00612737679073536
"293",60,3,1195133475564.36,0.00645974519598421
"294",60,4,6805682193071.43,0.00640724108600161
"295",60,5,6325682639.89888,0.00641165232453977
