"","topic","term","beta"
"1",1,"deaños",0.00934655058844563
"2",1,"sospechosos",0.005950216079801
"3",1,"españa",0.00550246480152268
"4",1,"aires",0.0054542187354758
"5",1,"confirmados",0.00502564929430538
"6",1,"transmisión",0.00488910597086772
"7",1,"buenos",0.00433723842370496
"8",1,"hospital",0.00421113643397628
"9",1,"unidos",0.00412760715632391
"10",1,"hombre",0.00354780751178309
"11",1,"protocolo",0.00349196657945619
"12",1,"cuatro",0.00340958904565617
"13",1,"pampeanos",0.00326206239592058
"14",1,"tratamiento",0.00320897509845899
"15",1,"seguimiento",0.00303891460764269
"16",1,"información",0.00301337399885453
"17",1,"equipo",0.00283140966224751
"18",1,"respiratoria",0.00274379206239247
"19",1,"insumos",0.00272052172421393
"20",1,"antecedente",0.00262541006346391
"21",1,"uso",0.00249619855950001
"22",1,"funcionarios",0.00242770458712005
"23",1,"mayo",0.00239154902816792
"24",1,"san",0.00237426498609026
"25",1,"alta",0.00233982020558634
"26",1,"paciente",0.00230863636457427
"27",1,"vigilancia",0.00228799054355931
"28",1,"pampeano",0.00228434475598684
"29",1,"controles",0.0022492126634871
"30",1,"contagio",0.00222690321555941
"31",1,"ingreso",0.00221314279965852
"32",1,"jueves",0.00219796120078433
"33",1,"miércoles",0.00214924570346669
"34",1,"será",0.0020787210225987
"35",1,"internado",0.0020741177258667
"36",1,"domicilio",0.00204124005486976
"37",1,"algunos",0.00198713272572926
"38",1,"infectados",0.00197850907650478
"39",1,"unos",0.00192814520293331
"40",1,"textual",0.00192568379245971
"41",1,"intendente",0.00186761424594246
"42",1,"tras",0.0018649510724825
"43",1,"hospitalarios",0.00185463183883004
"44",1,"lunes",0.00183728775892552
"45",1,"cumpliendo",0.00181410511908846
"46",1,"río",0.0017993964663558
"47",1,"matrimonio",0.00178593600226824
"48",1,"tal",0.00177507825415948
"49",1,"fecha",0.00177502786682774
"50",1,"viernes",0.00177125598665203
"51",2,"hombre",0.00648291164611521
"52",2,"confirmados",0.00615862643019079
"53",2,"deaños",0.00538934714316104
"54",2,"paciente",0.00519464508033186
"55",2,"buenos",0.00473906239214981
"56",2,"fecha",0.00410940908854403
"57",2,"información",0.00384168553989998
"58",2,"italia",0.00363526716197045
"59",2,"pampeanos",0.00355107276978884
"60",2,"protocolo",0.00355061645528864
"61",2,"respiratoria",0.00338260529834168
"62",2,"exterior",0.00326852409351248
"63",2,"pampeano",0.00317709996382787
"64",2,"españa",0.00313857965270737
"65",2,"será",0.00309778919802473
"66",2,"equipo",0.00292130320479391
"67",2,"mayo",0.0028610875894607
"68",2,"fondo",0.00284846432057639
"69",2,"sospechosos",0.00273961154873675
"70",2,"unidos",0.00263167355586474
"71",2,"trabajadores",0.00248800780825162
"72",2,"chaco",0.00244436863095614
"73",2,"martes",0.00244109368651401
"74",2,"nuestro",0.00239617327338887
"75",2,"datos",0.00235904571126542
"76",2,"contagio",0.00230611647561848
"77",2,"mujer",0.00229649850276947
