"","term","log2ratio21","top1","top2"
"1","abramo",9.60599237185099,1,2
"2","ruido",9.04981625859407,1,2
"3","comunicadas",9.0226437661043,1,2
"4","modificó",8.90370744030076,1,2
"5","confirma",8.72935797100375,1,2
"6","actualizada",8.59223322487275,1,2
"7","completaron",8.21159304650301,1,2
"8","enfocarse",8.18354839065882,1,2
"9","interrupciones",8.142441139265,1,2
"10","vehicular",8.09211442183734,1,2
"11","completar",-11.9106131354682,1,2
"12","solidario",-11.3748923788467,1,2
"13","logró",-10.3830035894343,1,2
"14","tarditti",-9.33818626400356,1,2
"15","losmuertes",-9.33708407655462,1,2
"16","llegado",-9.31884514712651,1,2
"17","practica",-9.06963147991499,1,2
"18","reportarvíctimas",-8.77883484646579,1,2
"19","tomando",-8.54865166725551,1,2
"20","enfermo",-8.32321213918908,1,2
"21","abramo",12.2528135136433,1,3
"22","twitter",9.13362772025484,1,3
"23","decretad",9.12792962315477,1,3
"24","confirma",9.08897804341536,1,3
"25","dependerá",8.87880093937643,1,3
"26","decretado",8.38001950855869,1,3
"27","contagiarse",8.16503055543344,1,3
"28","ruido",8.15144546831033,1,3
"29","vehicular",8.08400067664143,1,3
"30","enfocarse",7.97578607810805,1,3
"31","variantes",-11.0550880655371,1,3
"32","paulo",-9.92323871012133,1,3
"33","conectados",-9.79665304665493,1,3
"34","viandas",-9.46691621826804,1,3
"35","deaños",-9.19255489153859,1,3
"36","coronaviruscovid",-9.05787086974651,1,3
"37","acceso",-8.95434408965935,1,3
"38","revisarlo",-8.91679760957326,1,3
"39","utilizaron",-8.07926261509938,1,3
"40","semanasestamos",-8.05700385842376,1,3
"41","abramo",10.9741197258672,1,4
"42","comunicadas",9.03177141625927,1,4
"43","decretad",8.92708056587741,1,4
"44","completaron",8.75432009323868,1,4
"45","confirma",8.56918160053759,1,4
"46","ruido",8.536327048449,1,4
"47","twitter",8.4957404700688,1,4
"48","vehicular",8.26783123290677,1,4
"49","decretado",7.99851077538146,1,4
"50","actualizada",7.93154530878763,1,4
"51","instantes",-11.4152345116238,1,4
"52","aprobado",-10.3392532002439,1,4
"53","pago",-10.1146878279584,1,4
"54","hidroxicloroquina",-9.51219009759708,1,4
"55","hombres",-8.80500348123003,1,4
"56","propietario",-8.60030081019194,1,4
"57","permita",-8.2531033138543,1,4
"58","custodia",-8.03291592092673,1,4
"59","solá",-8.01068396227936,1,4
"60","comparar",-8.00403155989615,1,4
"61","abramo",10.4104429205058,1,5
"62","completaron",10.1878149981372,1,5
"63","comunicadas",9.23764972507304,1,5
"64","confirma",8.86871107709772,1,5
"65","dependerá",8.71988773201512,1,5
"66","actualizada",8.71784155816206,1,5
"67","decretad",8.51722330493447,1,5
"68","contagiarse",8.45757536194372,1,5
"69","interrupciones",8.0570937219529,1,5
"70","modificó",8.00650717896162,1,5
"71","desecamiento",-12.1883058614938,1,5
"72","comerciante",-12.053567837838,1,5
"73","asegura",-10.1101934512172,1,5
"74","móviles",-9.98363663553034,1,5
"75","sic",-9.9684236174045,1,5
"76","tomándole",-9.3803999409601,1,5
"77","mayo",-9.31376734774585,1,5
"78","funcionarias",-9.03306989079684,1,5
"79","cui",-8.84055968011621,1,5
"80","violare",-8.77847705593171,1,5
"81","comunicadas",9.41083651582211,1,6
"82","completaron",9.20722660487575,1,6
"83","detección",9.10805723005498,1,6
"84","dependerá",9.02451763021526,1,6
"85","modificó",8.9575409821562,1,6
"86","decretad",8.74157260960324,1,6
"87","decretado",8.39615064238924,1,6
"88","contagiarse",8.36065553292613,1,6
"89","fasce",8.35112654649561,1,6
"90","interrupciones",8.16067757834177,1,6
"91","nasal",-10.1553360302714,1,6
"92","brutal",-10.1089347974098,1,6
"93","ghezzi",-9.44949321111566,1,6
"94","alternativa",-9.41041017977012,1,6
"95","deyrespectivamente",-9.24288660609083,1,6
"96","rescatado",-8.75310110246151,1,6
"97","sensibilizar",-8.03136616015724,1,6
"98","proliferación",-8.00732179454425,1,6
"99","toses",-7.76177444554138,1,6
"100","requiere",-7.57167201030287,1,6
"101","abramo",10.3341894955746,1,7
"102","completaron",9.80072034115393,1,7
"103","comunicadas",9.47435927537384,1,7
"104","fasce",8.98930721290561,1,7
"105","enfocarse",8.52357210458371,1,7
"106","actualizada",8.47117648586874,1,7
"107","decretad",8.22956380370524,1,7
"108","modificó",8.22821758852082,1,7
"109","contagiarse",8.13969800663305,1,7
"110","diere",8.05740903928953,1,7
"111","interfederal",-11.4224399149861,1,7
"112","xenófobos",-9.33599974877352,1,7
"113","sappa",-9.30957644171556,1,7
"114","telen",-9.29849248448516,1,7
"115","itálico",-9.15010542661702,1,7
"116","calabria",-9.02511195359589,1,7
"117","díasyde",-8.95526855716004,1,7
"118","chaqueño",-8.66234534911957,1,7
"119","traería",-8.65362844680543,1,7
"120","menores",-8.61865876777571,1,7
"121","abramo",10.8527910998995,1,8
"122","completaron",9.76470667251274,1,8
"123","fasce",8.83066695081999,1,8
"124","confirma",8.81825203723922,1,8
"125","actualizada",8.81179137864405,1,8
"126","twitter",8.75803352921949,1,8
"127","permanece",8.58359437705765,1,8
"128","afmpf",8.52687457075765,1,8
"129","ruido",8.51623683666043,1,8
"130","comunicadas",8.35992566530317,1,8
"131","duplica",-11.0085124805412,1,8
"132","posee",-9.22439672890879,1,8
"133","incumplió",-8.68082638579214,1,8
"134","únicos",-8.12607816122667,1,8
"135","probando",-7.90739344399537,1,8
"136","monitores",-7.74653556450719,1,8
"137","simultáneas",-7.50854165553948,1,8
"138","pensar",-7.2549012311744,1,8
"139","aviv",-7.13660445234644,1,8
"140","trabajaron",-7.11088124820951,1,8
"141","abramo",10.5165852249948,1,9
"142","completaron",10.273839512482,1,9
"143","decretad",9.04467657060087,1,9
"144","modificó",8.88183459001494,1,9
"145","confirma",8.70236613425752,1,9
"146","fasce",8.61342772262382,1,9
"147","dependerá",8.59539106823338,1,9
"148","actualizada",8.57269901486612,1,9
"149","diere",8.51211416193122,1,9
"150","comunicadas",8.46596245134811,1,9
"151","prescripciones",-9.98039109383804,1,9
"152","nuca",-9.74591424024156,1,9
"153","paz",-9.1427253414723,1,9
"154","torneos",-9.08243504898372,1,9
"155","amenazare",-9.0282917954071,1,9
"156","rápida",-8.63942536537896,1,9
"157","chequeando",-8.58454527887646,1,9
"158","contemporáneos",-8.3847307217045,1,9
"159","loscasoscorresponden",-8.24639992789247,1,9
"160","distrito",-8.14343446934529,1,9
"161","abramo",11.6274290395954,1,10
"162","completaron",9.59152557732142,1,10
"163","fasce",9.07372185965776,1,10
"164","modificó",9.02337180172484,1,10
"165","dependerá",8.99131456651598,1,10
"166","confirma",8.94357535410407,1,10
"167","ruido",8.84019710415227,1,10
"168","actualizada",8.72879617582196,1,10
"169","detección",8.42570347308241,1,10
"170","diere",8.31776395521796,1,10
"171","poemas",-11.5743170165117,1,10
"172","deporte",-10.9633150117677,1,10
"173","losmil",-10.8734816134057,1,10
"174","bola",-10.5411267149542,1,10
"175","pasaban",-9.86760782176093,1,10
"176","cigarrillos",-9.5015191183264,1,10
"177","quepacientes",-9.22526387009707,1,10
"178","gravísimo",-8.76103107176261,1,10
"179","primordial",-8.67943679457992,1,10
"180","desarrolla",-7.92450496767147,1,10
"181","abramo",12.0492140915627,1,11
"182","completaron",9.7867338281074,1,11
"183","comunicadas",9.03892456751939,1,11
"184","dependerá",8.97602630872125,1,11
"185","twitter",8.67265092400831,1,11
"186","diere",8.36853628058937,1,11
"187","contagiarse",8.04654409466993,1,11
"188","confirma",7.95019335853206,1,11
"189","decretado",7.93075307184093,1,11
"190","interrupciones",7.76087164753109,1,11
"191","verificar",-9.34096536109306,1,11
"192","departamento",-8.91074239191314,1,11
"193","presentan",-8.8036043192283,1,11
"194","carreras",-8.74871665533463,1,11
"195","chileno",-8.69875766558726,1,11
"196","senado",-8.66636780181974,1,11
"197","comprobó",-8.54998297807768,1,11
"198","verdaderos",-8.40549166194657,1,11
"199","adhirió",-8.36295924532648,1,11
"200","usa",-8.15764604890819,1,11
"201","abramo",11.7113983447143,1,12
"202","detección",9.16997291177283,1,12
"203","fasce",9.12038473308983,1,12
"204","completaron",8.91305913948659,1,12
"205","decretad",8.73707529139116,1,12
"206","actualizada",8.71581402046528,1,12
"207","afmpf",8.63752839470435,1,12
"208","modificó",8.50327462540473,1,12
"209","dependerá",8.48844345833091,1,12
"210","diere",8.48272788395138,1,12
"211","ministra",-10.5243266441359,1,12
"212","lleguen",-9.74278030502016,1,12
"213","urbanos",-9.25222694351106,1,12
"214","vera",-9.03800879032399,1,12
"215","decenas",-8.71081595236711,1,12
"216","administrar",-8.70232654725153,1,12
"217","ingresó",-8.45732139308629,1,12
"218","teorías",-8.33155642308303,1,12
"219","gabriel",-8.1492944146183,1,12
"220","afuera",-7.86159315933042,1,12
"221","abramo",11.6325674449144,1,13
"222","completaron",9.54401074528188,1,13
"223","fasce",8.85635672003433,1,13
"224","dependerá",8.3978003737585,1,13
"225","decretado",8.14334881090969,1,13
"226","actualizada",8.04325604409699,1,13
"227","permanece",7.90637929727345,1,13
"228","twitter",7.72141501936408,1,13
"229","decretad",7.66560515940607,1,13
"230","empeoró",7.61556979083288,1,13
"231","lasahoras",-11.6202714111622,1,13
"232","impediría",-10.246057657472,1,13
"233","contribuyendo",-10.0640799778165,1,13
"234","vieron",-9.04984230594401,1,13
"235","secretaria",-8.58671160325232,1,13
"236","pernoctar",-8.40774641772405,1,13
"237","inclumplir",-8.30817020861248,1,13
"238","pagará",-8.07353937041591,1,13
"239","hipoxemia",-7.95238907808766,1,13
"240","amenazare",-7.89374896107966,1,13
"241","abramo",12.223230865663,1,14
"242","completaron",9.08066286860195,1,14
