"","topic","sumaPos","sumaNeg","vPolTopico"
"1",1,419.7673,53.1572,7.89671577885969
"2",2,413.254866666667,14.4322,28.634225320233
"3",3,583.398133333333,36.125,16.1494292964245
"4",4,355.668433333333,54.825,6.4873403252774
"5",5,379.268433333333,14.6,25.9772899543379
"6",6,526.922733333333,49.4,10.6664520917679
"7",7,473.3018,40.9322,11.5630677070864
"8",8,466.322433333333,41.1996,11.3186155529018
"9",9,582.722733333333,26.6,21.9068696741855
"10",10,616.189933333333,32.7,18.8437288481142
"11",11,462.907833333333,47.9572,9.65252002479989
"12",12,632.267333333333,49.7322,12.713439850506
"13",13,401.289133333333,47.625,8.42601854768154
"14",14,336.090233333333,63.725,5.27407192363018
"15",15,390.622633333333,75.8572,5.14944703117612
"16",16,495.2026,73.8322,6.70713591088983
"17",17,470.1026,48.2318,9.74673555620981
"18",18,493.623566666667,41.2996,11.9522602317375
"19",19,397.4989,57.825,6.87417034154777
"20",20,563.322733333333,41.825,13.4685650527994
"21",21,411.364433333333,29.4572,13.9648178826682
"22",22,502.9351,40.6,12.3875640394089
"23",23,346.2322,53.2572,6.50113411895481
"24",24,372.833333333333,58.625,6.35963041933191
"25",25,423.834,32.7,12.9612844036697
"26",26,460.756266666667,44.925,10.2561216842886
"27",27,553.1,35.7,15.4929971988796
"28",28,569.529933333333,49.7322,11.451935231768
"29",29,536.867333333333,38.825,13.8278772268727
"30",30,504.489133333333,35.1322,14.359736462087
"31",31,526.733333333333,33.025,15.9495331819329
"32",32,369.156466666667,44.6246,8.27248797001355
