"","palabra","freq","magrado","mactivacion","mimag"
"51","nuevo",25,2.8,1.6,2.6
"52","positivos",25,NA,NA,NA
"53","buenosaires",24,NA,NA,NA
"54","cada",24,NA,NA,NA
"55","día",24,2.4,2.2,3
"56","solidario",24,NA,NA,NA
"57","así",23,NA,NA,NA
"58","hoy",23,NA,NA,NA
"59","ministerio",23,1.8,1.6,2.2
"60","ministro",23,1.8,2,2.8
"61","mayor",22,2.3333,2.1667,3
"62","semana",22,2,2.4,2.6
"63","confirmados",21,NA,NA,NA
"64","forma",21,2.2,1.8,1.4
"65","hombre",21,2.4,2.4,3
"66","aporte",20,NA,NA,NA
"67","crisis",20,2,2.4,2.4
"68","después",20,NA,NA,NA
"69","elde",20,NA,NA,NA
"70","españa",20,NA,NA,NA
"71","mismo",20,2.1,2.1,1.8
"72","ser",20,2.6,2.7,2.2
"73","sergio",20,NA,NA,NA
"74","abril",19,NA,NA,NA
"75","argentina",19,NA,NA,NA
"76","datos",19,NA,NA,NA
"77","mujer",19,2.6,2.6,3
"78","nación",19,2.8,3,2.8
"79","pampeanos",19,NA,NA,NA
"80","pesos",19,NA,NA,NA
"81","sistema",19,2.2,2.2,1.2
"82","todas",19,NA,NA,NA
"83","total",19,2,1.8,1.6
"84","trabajo",19,2.3333,2.6667,2.5
"85","casa",18,2.8,1.4,2.8
"86","diario",18,2.14285,2.27145,2.64285
"87","fernández",18,NA,NA,NA
"88","frente",18,2,1.9,2.1
"89","hospitalarios",18,NA,NA,NA
"90","municipio",18,2,1.8,2.6
"91","tiempo",18,2,2,2.2
"92","adquisición",17,NA,NA,NA
"93","ahora",17,NA,NA,NA
"94","alberto",17,NA,NA,NA
"95","autoridades",17,NA,NA,NA
"96","control",17,1.8,2,2.6
"97","ejecutivo",17,2.2,2.4,2.6
"98","horas",17,NA,NA,NA
"99","matrimonio",17,2.8,2.6,3
"100","obligatorio",17,NA,NA,NA
"101","personal",17,2.5,2.4,2.6
"102","santa",17,NA,NA,NA
"103","vamos",17,NA,NA,NA
"104","viaje",17,2.6,2.8,2.8
"105","alta",16,NA,NA,NA
"106","anunció",16,NA,NA,NA
"107","banco",16,2.4,1.4,2.6
"108","comunicado",16,NA,NA,NA
"109","encuentra",16,NA,NA,NA
"110","hace",16,NA,NA,NA
"111","internado",16,NA,NA,NA
"112","localidad",16,2,2,2
"113","menos",16,NA,NA,NA
"114","necesidad",16,2,2.4,2.4
"115","recursos",16,NA,NA,NA
"116","tratamiento",16,1.6667,2.6667,2.6667
"117","destinado",15,NA,NA,NA
"118","empresas",15,NA,NA,NA
"119","haciendo",15,NA,NA,NA
"120","junto",15,2.5,2.2,2.5
"121","manera",15,2,2,1.2
"122","molas",15,NA,NA,NA
"123","nivel",15,2.2,2.2,2.4
"124","población",15,NA,NA,NA
"125","positivo",15,3,3,2.8
"126","toda",15,NA,NA,NA
"127","contagios",14,NA,NA,NA
"128","cuenta",14,2,1.8,2.4
"129","demillones",14,NA,NA,NA
"130","enfermedad",14,1.2,2,2.8
"131","hacer",14,2.4,3,2.8
"132","indicó",14,NA,NA,NA
"133","medida",14,2,2.1667,1.8333
"134","número",14,2.1667,1.8333,2.6667
"135","persona",14,2.4,2.6,2.8
"136","provincias",14,NA,NA,NA
"137","sentido",14,2.4,2.4,1.6
"138","terapia",14,NA,NA,NA
"139","trabajadores",14,NA,NA,NA
"140","trata",14,NA,NA,NA
"141","confirmó",13,NA,NA,NA
"142","contagio",13,NA,NA,NA
"143","cuatro",13,NA,NA,NA
"144","cuentas",13,NA,NA,NA
"145","entrega",13,NA,NA,NA
"146","estudiantes",13,NA,NA,NA
"147","evitar",13,1.8,3,2.4
"148","fuentes",13,NA,NA,NA
"149","inicial",13,2,2,2
"150","justicia",13,2.8333,2.5,2.6667
