"","palabra","freq","magrado","mactivacion","mimag"
"1","coronavirus",107,NA,NA,NA
"2","casos",95,NA,NA,NA
"3","covid",95,NA,NA,NA
"4","provincia",90,2.6,2,2.8
"5","lapampa",81,NA,NA,NA
"6","salud",79,2.6,1.6,2.6
"7","pandemia",71,NA,NA,NA
"8","gobierno",65,2,2.6667,2.8333
"9","país",60,2.2,1.8,2.8
"10","personas",58,NA,NA,NA
"11","aislamiento",55,NA,NA,NA
"12","cuarentena",52,NA,NA,NA
"13","deaños",41,NA,NA,NA
"14","provincial",40,2.2,2,2.4
"15","ciudad",39,2.4,2.4,3
"16","fondo",39,2,1.6,2.8
"17","según",39,NA,NA,NA
"18","caso",38,2,1.8,1.4
"19","dos",38,NA,NA,NA
"20","medidas",38,NA,NA,NA
"21","gobernador",37,1.7,2.5,3
"22","marzo",37,NA,NA,NA
"23","nacional",37,2.4,2.2,2.8
"24","primer",37,NA,NA,NA
"25","tener",37,2.6,1.8,2.8
"26","virus",37,NA,NA,NA
"27","informó",36,NA,NA,NA
"28","general",35,2.2,1.8,1.9
"29","además",34,NA,NA,NA
"30","hospital",34,1.8,2.6,3
"31","momento",34,2.2,1.6,1.8
"32","parte",34,2,1.8,2.8
"33","emergencia",32,NA,NA,NA
"34","situación",32,2,2,1.6
"35","social",32,2.4,2,2
"36","tres",32,NA,NA,NA
"37","días",31,NA,NA,NA
"38","dijo",31,NA,NA,NA
"39","poder",31,2.6,2.8,2.3
"40","pacientes",30,NA,NA,NA
"41","través",30,2,2,1
"42","funcionarios",29,NA,NA,NA
"43","bien",28,3,2.4,2.4
"44","ziliotto",28,NA,NA,NA
"45","ayer",26,NA,NA,NA
"46","paciente",26,2.2,1.6,2.9
"47","presidente",26,1.8,2.8,3
"48","sanitaria",26,NA,NA,NA
"49","santarosa",26,NA,NA,NA
"50","insumos",25,NA,NA,NA
