"","palabra","freq","magrado","mactivacion","mimag"
"51","comunicado",7,NA,NA,NA
"52","contención",7,NA,NA,NA
"53","crisis",7,2,2.4,2.4
"54","día",7,2.4,2.2,3
"55","fiebre",7,NA,NA,NA
"56","gobernador",7,1.7,2.5,3
"57","haber",7,2,1.8,1.8
"58","informó",7,NA,NA,NA
"59","nuevo",7,2.8,1.6,2.6
"60","nuevos",7,NA,NA,NA
"61","persona",7,2.4,2.6,2.8
"62","presidente",7,1.8,2.8,3
"63","públicos",7,NA,NA,NA
"64","riesgo",7,1.2,2.6,2.8
"65","síntomas",7,NA,NA,NA
"66","tarde",7,2.5,2.5,2.8333
"67","tres",7,NA,NA,NA
"68","ámbito",6,2,1.8,1.8
"69","cartera",6,NA,NA,NA
"70","centro",6,2.4,1.6,2.4
"71","circulación",6,NA,NA,NA
"72","clases",6,NA,NA,NA
"73","elde",6,NA,NA,NA
"74","encuentran",6,NA,NA,NA
"75","españa",6,NA,NA,NA
"76","exterior",6,2.2,1.7,2.7
"77","fecha",6,2.4,2,2
"78","general",6,2.2,1.8,1.9
"79","italia",6,NA,NA,NA
"80","local",6,2.18335,1.81665,2.3
"81","lugares",6,NA,NA,NA
"82","ministro",6,1.8,2,2.8
"83","momento",6,2.2,1.6,1.8
"84","pacientes",6,NA,NA,NA
"85","países",6,NA,NA,NA
"86","sociales",6,NA,NA,NA
"87","sospechosos",6,NA,NA,NA
"88","tos",6,NA,NA,NA
"89","trata",6,NA,NA,NA
"90","través",6,2,2,1
"91","vez",6,2,2,1.8
"92","viaje",6,2.6,2.8,2.8
"93","alemania",5,NA,NA,NA
"94","anunció",5,NA,NA,NA
"95","argentina",5,NA,NA,NA
"96","casa",5,2.8,1.4,2.8
"97","caza",5,1.6,2.8,3
"98","ciento",5,2,1.8,1.6
"99","cotos",5,NA,NA,NA
"100","cualquier",5,NA,NA,NA
"101","dispuso",5,NA,NA,NA
"102","dolor",5,1,2.6,2.8
"103","epidemiología",5,NA,NA,NA
"104","europa",5,NA,NA,NA
"105","fallecido",5,NA,NA,NA
"106","horas",5,NA,NA,NA
"107","intendente",5,NA,NA,NA
"108","internacionales",5,NA,NA,NA
"109","kohan",5,NA,NA,NA
"110","marzo",5,NA,NA,NA
"111","noche",5,2.6,2,3
"112","parte",5,2,1.8,2.8
"113","permanecer",5,2.6,1.6,2
"114","permanecido",5,NA,NA,NA
"115","población",5,NA,NA,NA
"116","presencia",5,2.2,2.6,2.4
"117","pública",5,NA,NA,NA
"118","recomienda",5,NA,NA,NA
"119","rectorado",5,NA,NA,NA
"120","rugby",5,NA,NA,NA
"121","sanzaar",5,NA,NA,NA
"122","secretaría",5,NA,NA,NA
"123","solo",5,1.7,1.7,2.9
"124","suspensión",5,NA,NA,NA
"125","tal",5,NA,NA,NA
"126","toda",5,NA,NA,NA
"127","trabajo",5,2.3333,2.6667,2.5
"128","universitario",5,2.8,2.6,2.8
"129","ziliotto",5,NA,NA,NA
"130","zonas",5,NA,NA,NA
"131","alerta",4,NA,NA,NA
"132","atención",4,2.4,2.4,2.6
"133","avance",4,3,3,3
"134","bienestar",4,NA,NA,NA
"135","brindar",4,3,3,3
"136","capacidad",4,2.4,2.4,2.6
"137","cazadores",4,NA,NA,NA
"138","confirmados",4,NA,NA,NA
"139","confirmó",4,NA,NA,NA
"140","corridos",4,NA,NA,NA
"141","cuadro",4,2.2,1.2,3
"142","diario",4,2.14285,2.27145,2.64285
"143","dificultad",4,1.6,2.4,2.4
"144","dio",4,NA,NA,NA
"145","domicilio",4,NA,NA,NA
"146","durantedías",4,NA,NA,NA
"147","educación",4,2.8,2.8,2.8
"148","efectos",4,NA,NA,NA
"149","emergencia",4,NA,NA,NA
"150","encuentra",4,NA,NA,NA
"151","especial",4,2.6,1.8,2.4
"152","explicó",4,NA,NA,NA
"153","fallecidos",4,NA,NA,NA
"154","fase",4,2,1.4,1.6
"155","fernández",4,NA,NA,NA
"156","función",4,2,2,2.2
"157","funcionarios",4,NA,NA,NA
"158","garganta",4,2.2,2,2.8
"159","gonzález",4,2,2,2
"160","hombre",4,2.4,2.4,3
"161","hospital",4,1.8,2.6,3
"162","hoy",4,NA,NA,NA
"163","impacto",4,1.8,2.6,2.6
"164","importados",4,NA,NA,NA
"165","indicó",4,NA,NA,NA
"166","instituto",4,2.4,2.2,2.6
"167","jugadores",4,NA,NA,NA
"168","laborales",4,NA,NA,NA
"169","lugar",4,2,1.6,2
"170","médicos",4,NA,NA,NA
"171","mientras",4,NA,NA,NA
"172","municipio",4,2,1.8,2.6
"173","nápoli",4,NA,NA,NA
"174","nueva",4,NA,NA,NA
"175","objetivo",4,2.4,2.4,2.7
"176","pampeano",4,NA,NA,NA
"177","pandemia",4,NA,NA,NA
"178","partir",4,2,2.8,2.6
"179","poder",4,2.6,2.8,2.3
"180","poner",4,2.4,3,3
"181","positivo",4,3,3,2.8
"182","recientemente",4,2.2,2.2,1.8
"183","relación",4,3,3,2.4
"184","resolvió",4,NA,NA,NA
"185","respecto",4,2,2,1.6
"186","respirar",4,2.6,3,3
"187","sábado",4,NA,NA,NA
"188","sanitario",4,NA,NA,NA
"189","seguridad",4,2.8,2.8,2.4
"190","semana",4,2,2.4,2.6
"191","sentido",4,2.4,2.4,1.6
"192","sergio",4,NA,NA,NA
"193","serie",4,2.3333,2.1667,2
"194","social",4,2.4,2,2
"195","tomó",4,NA,NA,NA
"196","tras",4,NA,NA,NA
"197","zelanda",4,NA,NA,NA
"198","acerca",3,NA,NA,NA
"199","actividad",3,2.6,2.8,2.4
"200","acuerdo",3,2.4,3,2.6
"201","adhesión",3,NA,NA,NA
"202","ahora",3,NA,NA,NA
"203","aislados",3,NA,NA,NA
"204","alberto",3,NA,NA,NA
"205","alcances",3,NA,NA,NA
"206","ámbitos",3,NA,NA,NA
"207","ana",3,NA,NA,NA
"208","aplausazo",3,NA,NA,NA
"209","áreas",3,NA,NA,NA
"210","argerich",3,NA,NA,NA
"211","artículo",3,2,1.8,2.2
"212","bertone",3,NA,NA,NA
"213","capital",3,2.1,1.9,2.1
"214","casino",3,NA,NA,NA
"215","charla",3,NA,NA,NA
"216","china",3,NA,NA,NA
"217","cierre",3,NA,NA,NA
"218","circula",3,NA,NA,NA
"219","cómo",3,NA,NA,NA
"220","concurrir",3,NA,NA,NA
"221","confirmado",3,NA,NA,NA
"222","confirmaron",3,NA,NA,NA
"223","conocer",3,2.8,2.8,2.4
"224","control",3,1.8,2,2.6
"225","coordinación",3,NA,NA,NA
"226","córdoba",3,NA,NA,NA
"227","cuatro",3,NA,NA,NA
"228","deberán",3,NA,NA,NA
"229","decreto",3,2,2.6,1.4
"230","dependencia",3,NA,NA,NA
"231","deportivos",3,NA,NA,NA
"232","detalló",3,NA,NA,NA
"233","detectado",3,NA,NA,NA
"234","detectar",3,NA,NA,NA
"235","dinámicas",3,NA,NA,NA
"236","directora",3,NA,NA,NA
"237","dispuesto",3,NA,NA,NA
"238","ejecutivo",3,2.2,2.4,2.6
"239","empleados",3,NA,NA,NA
"240","empresas",3,NA,NA,NA
"241","enfermeros",3,NA,NA,NA
"242","entrada",3,2.4,2.2,2.8
"243","epidemiológica",3,NA,NA,NA
"244","escucharon",3,NA,NA,NA
"245","especiales",3,NA,NA,NA
"246","establecido",3,NA,NA,NA
"247","evolución",3,2.8,2.8,2
"248","forma",3,2.2,1.8,1.4
"249","garcía",3,NA,NA,NA
"250","gente",3,2.4,2.2,3
"251","ginés",3,NA,NA,NA
"252","global",3,2,1.8,2.8
"253","haciendo",3,NA,NA,NA
"254","infectados",3,NA,NA,NA
"255","información",3,2.2,2,2
"256","informe",3,1.8,1.8,1.4
"257","ingresan",3,NA,NA,NA
"258","inmediato",3,2,2.8,2.2
"259","investigación",3,2.2,3,2.4
"260","judicial",3,1.2,1.6,2.6
"261","jueves",3,NA,NA,NA
"262","lashoras",3,NA,NA,NA
"263","licencia",3,NA,NA,NA
"264","licencias",3,NA,NA,NA
"265","luciano",3,NA,NA,NA
"266","luis",3,NA,NA,NA
"267","malbrán",3,NA,NA,NA
"268","manos",3,NA,NA,NA
"269","masivo",3,1.8,2.2,2.8
"270","médico",3,2.3,2.4,3
"271","mensaje",3,2.3333,2.1667,2.6667
"272","milán",3,NA,NA,NA
"273","misma",3,NA,NA,NA
"274","mismo",3,2.1,2.1,1.8
"275","negro",3,2.2,2,2.9
"276","paciente",3,2.2,1.6,2.9
"277","partido",3,2.2,2.8,2.8
"278","pasado",3,2.4,1.8,2.8
"279","permanencia",3,NA,NA,NA
"280","personal",3,2.5,2.4,2.6
"281","pidió",3,NA,NA,NA
"282","posibilidad",3,2.4,2.2,2
"283","posible",3,2.8,2.2,2.4
"284","presente",3,2.56665,2.2,2.28335
"285","prevención",3,NA,NA,NA
"286","preventivas",3,NA,NA,NA
"287","privado",3,NA,NA,NA
"288","realización",3,2.8,2.8,2.4
"289","realizada",3,NA,NA,NA
"290","recreativos",3,NA,NA,NA
"291","redes",3,NA,NA,NA
"292","registran",3,NA,NA,NA
"293","regresado",3,NA,NA,NA
"294","regresen",3,NA,NA,NA
"295","remarcó",3,NA,NA,NA
"296","respiratorios",3,NA,NA,NA
"297","reunión",3,2.6,2.6,3
"298","río",3,2.6,2.4,2.8
"299","san",3,2.6,2.2,2.2
"300","seguir",3,2.4,2.6,2.8
"301","ser",3,2.6,2.7,2.2
"302","sistema",3,2.2,2.2,1.2
"303","suspenden",3,NA,NA,NA
"304","temporada",3,2.3333,2.1667,1.6667
"305","término",3,2,1.8,1.8
"306","tiempo",3,2,2,2.2
"307","tomar",3,2,2.6,2.8
"308","transmisión",3,2,2.6,1.8
"309","treinta",3,NA,NA,NA
"310","turismo",3,3,3,3
"311","uar",3,NA,NA,NA
"312","últimas",3,NA,NA,NA
"313","unlpam",3,NA,NA,NA
"314","vamos",3,NA,NA,NA
"315","villa",3,1.8,2,2.6
"316","zona",3,2,1.8,1.6
"317","acceso",2,2.1429,1.8571,2
"318","acciones",2,NA,NA,NA
"319","acha",2,NA,NA,NA
"320","actos",2,NA,NA,NA
"321","actualmente",2,NA,NA,NA
"322","adecuada",2,NA,NA,NA
"323","adecuándose",2,NA,NA,NA
"324","adelantaron",2,NA,NA,NA
"325","advirtió",2,NA,NA,NA
"326","afectados",2,NA,NA,NA
"327","agentes",2,NA,NA,NA
"328","aglomeraciones",2,NA,NA,NA
"329","agregó",2,NA,NA,NA
"330","alcanza",2,NA,NA,NA
"331","alojamientos",2,NA,NA,NA
"332","ambos",2,NA,NA,NA
"333","antecedente",2,NA,NA,NA
"334","anticipó",2,NA,NA,NA
"335","aplausos",2,NA,NA,NA
"336","aplicará",2,NA,NA,NA
"337","apoyo",2,3,3,2.6
"338","aquellos",2,NA,NA,NA
"339","argentino",2,NA,NA,NA
"340","artículode",2,NA,NA,NA
"341","asegurando",2,NA,NA,NA
"342","asegurar",2,2.4545,2.8182,1.8182
"343","aunque",2,NA,NA,NA
"344","bailables",2,NA,NA,NA
"345","balcones",2,NA,NA,NA
"346","base",2,2,2,2.2
"347","bebidas",2,NA,NA,NA
"348","bomberos",2,NA,NA,NA
"349","borrelli",2,NA,NA,NA
"350","brama",2,NA,NA,NA
"351","brote",2,NA,NA,NA
"352","brusaferro",2,NA,NA,NA
"353","catorce",2,NA,NA,NA
"354","causa",2,2.4,2.4,2.2
"355","centenar",2,NA,NA,NA
"356","cerradas",2,NA,NA,NA
"357","chaco",2,NA,NA,NA
"358","chipre",2,NA,NA,NA
"359","ciclo",2,2,2.6,2.6
"360","clausura",2,NA,NA,NA
"361","club",2,2.6667,2.5,2.6667
"362","cobre",2,NA,NA,NA
"363","codo",2,NA,NA,NA
"364","comedores",2,NA,NA,NA
"365","comenzó",2,NA,NA,NA
"366","complicado",2,NA,NA,NA
"367","comunicó",2,NA,NA,NA
"368","concejo",2,NA,NA,NA
"369","concientización",2,NA,NA,NA
"370","concurrencia",2,NA,NA,NA
"371","consultorio",2,NA,NA,NA
"372","contactos",2,NA,NA,NA
"373","contagiados",2,NA,NA,NA
"374","continúa",2,NA,NA,NA
"375","convocatoria",2,NA,NA,NA
"376","corresponde",2,NA,NA,NA
"377","correspondientes",2,NA,NA,NA
"378","cosas",2,NA,NA,NA
"379","creado",2,NA,NA,NA
"380","criterios",2,NA,NA,NA
"381","cuales",2,NA,NA,NA
"382","cuanto",2,2.1111,2,1.6667
"383","cumpliendo",2,NA,NA,NA
"384","cumplir",2,2.8,2.8,2.2
"385","dado",2,NA,NA,NA
"386","daniele",2,NA,NA,NA
"387","debemos",2,NA,NA,NA
"388","deben",2,NA,NA,NA
"389","deberá",2,NA,NA,NA
"390","decisión",2,2.4,2.8,2.2
"391","decisiones",2,NA,NA,NA
"392","declarada",2,NA,NA,NA
"393","decretos",2,NA,NA,NA
"394","delito",2,1.6,2.8,3
"395","dependencias",2,NA,NA,NA
"396","deportivas",2,NA,NA,NA
"397","derecho",2,2.2,2.3,1.9
"398","derechos",2,NA,NA,NA
"399","desinfección",2,NA,NA,NA
"400","diariotextual",2,NA,NA,NA
"401","dice",2,NA,NA,NA
"402","diferencia",2,2,2,2.2
"403","difundida",2,NA,NA,NA
"404","dijo",2,NA,NA,NA
"405","disponer",2,2.4,2.4,1.8
"406","disposición",2,2.6,2,1.8
"407","dispuestas",2,NA,NA,NA
"408","disputar",2,1.7778,2.7778,2
"409","dybala",2,NA,NA,NA
"410","elevó",2,NA,NA,NA
"411","embargo",2,NA,NA,NA
"412","emitida",2,NA,NA,NA
"413","encomendó",2,NA,NA,NA
"414","enfermo",2,1,1,2.8
"415","envió",2,NA,NA,NA
"416","espacios",2,NA,NA,NA
"417","espectáculos",2,NA,NA,NA
"418","establecimientos",2,NA,NA,NA
"419","estrechos",2,NA,NA,NA
"420","evento",2,2,2.7143,2
"421","excepcional",2,NA,NA,NA
"422","exposición",2,2.3333,2.6667,2.8333
"423","expresó",2,NA,NA,NA
"424","extranjeras",2,NA,NA,NA
"425","extranjeros",2,NA,NA,NA
"426","facultades",2,NA,NA,NA
"427","familia",2,3,2.4,2.8
"428","federal",2,2.4,2,1.6
"429","finalmente",2,NA,NA,NA
"430","firmó",2,NA,NA,NA
"431","francia",2,NA,NA,NA
"432","frecuencia",2,2,2.4,1.6
"433","frenar",2,NA,NA,NA
"434","fuentes",2,NA,NA,NA
"435","fuerzas",2,NA,NA,NA
"436","futbolista",2,2.4,2.8,3
"437","garantizar",2,NA,NA,NA
"438","gastronómicos",2,NA,NA,NA
"439","gobiernos",2,NA,NA,NA
"440","gonzalo",2,NA,NA,NA
"441","habilitada",2,NA,NA,NA
"442","hace",2,NA,NA,NA
"443","hicieron",2,NA,NA,NA
"444","higuaín",2,NA,NA,NA
"445","hombres",2,NA,NA,NA
"446","hora",2,2,1.4,2.2
"447","hotelero",2,NA,NA,NA
"448","iba",2,NA,NA,NA
"449","igual",2,2.24285,2.07145,2.44285
"450","implementar",2,NA,NA,NA
"451","importante",2,2.3333,2.3333,2.3333
"452","incurriendo",2,NA,NA,NA
"453","infección",2,NA,NA,NA
"454","ingresado",2,NA,NA,NA
"455","inmediata",2,NA,NA,NA
"456","insta",2,NA,NA,NA
"457","institucionales",2,NA,NA,NA
"458","instó",2,NA,NA,NA
"459","integra",2,NA,NA,NA
"460","internado",2,NA,NA,NA
"461","italiano",2,NA,NA,NA
"462","jaguares",2,NA,NA,NA
"463","jefe",2,1.6,2.6,3
