"","ruta","tipo","qterm_pos","vterm_pos","qterm_neg","vterm_neg","qterm_act","vterm_act","qterm_pas","vterm_pas","qterm_fimag","vterm_fimag","qterm_dimag","vterm_dimag","tasa_posneg","tasa_actinac","tasa_fdimag"
"1","./ieeelatam/data/marzo/semana1/","Top50","92","38.4002","36","19.4","53","29.2002","61","21.8","138","102.8","5","2","0.774544598834603","1.54164116323351","1.86231884057971"
"2","./ieeelatam/data/marzo/semana1/","Top51+","146","62.5968","41","14.3999","144","78.67185","60","16.4095","191","117.2594","40","16.7999","1.22074135408284","1.99761951918096","1.46173146318591"
"3","./ieeelatam/data/marzo/semana2/","Top50","152","71.1665","52","15.8","100","53.1676","101","31.6","230","142.7659","51","23.667","1.54091355762825","1.69934417721519","1.3375918587797"
"4","./ieeelatam/data/marzo/semana2/","Top51+","495","234.38335","111","44.5777666666667","480","275.075","187","59.805","571","376.8607","142","49.5968","1.1790337321982","1.79190093498314","1.88964155107911"
"5","./ieeelatam/data/marzo/semana3/","Top50","540","215.68465","34","6.8","336","151.7356","308","90.55045","576","384.0986","172","57.4","1.99708009259259","1.53606046868532","1.99819006484708"
"6","./ieeelatam/data/marzo/semana3/","Top51+","1898","904.20235","480","184.5941","1956","1125.8654","649","203.5731","2425","1545.4418","449","174.3583","1.23877617673443","1.835024761343","1.64113620541931"
"7","./ieeelatam/data/marzo/semana4/","Top50","715","286.9689","185","37","438","231.3372","588","180.0345","947","705.5317","237","91","2.00677552447553","1.725015308139","1.94032065284241"
"8","./ieeelatam/data/marzo/semana4/","Top51+","2897","1351.54875","655","248.198066666667","2862","1653.43441666667","869","278.52985","3623","2328.81556666667","573","237.2013","1.23119296629574","1.80245891845505","1.55275994146908"
"9","./ieeelatam/data/abril/semana5/","Top50","568","252.4","97","23.1","297","162.0355","382","112","702","535.0645","169","75.9","1.86595329553076","1.86079728835979","1.69712548187186"
"10","./ieeelatam/data/abril/semana5/","Top51+","2122","1024.3985","524","198.199633333333","2226","1270.43531666667","684","220.51605","2746","1759.95616666667","441","167.4429","1.27629772344293","1.77028543125933","1.68800283202672"
